순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,아프니까 청춘이다 :인생 앞에 홀로 선 젊은 그대에게 ,김난도 지음,쌤앤파커스,2010,,9788965700036,3810,199.5,"12,632"
2,엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,2008,,9788936433673,3810,813.7,"10,214"
3,두근두근 내 인생 :김애란 장편소설 ,지은이: 김애란,창비,2011,,9788936433871,3810,813.7,"8,896"
4,빅 픽처 :더글라스 케네디 장편소설 ,지은이: 더글라스 케네디 ;옮긴이: 조동섭,밝은 세상,2010,,9788984371026,3840,843.5,"8,313"
5,정의란 무엇인가 ,저자: 마이클 샌델 ;역자: 이창신,김영사,2010,,9788934939603,3330,193,"7,785"
6,백설공주에게 죽음을 ,넬레 노이하우스 지음 ;김진아 옮김,북로드,2011,,9788991239685,3850,853,"7,417"
7,닥치고 정치 :김어준의 명랑시민 정치교본 ,"지은이: 김어준,엮은이: 지승호",푸른숲,2011,,9788971848685,3340,340.4,"7,388"
8,"헬로우, 로봇",로버트 말론 지음;오준호 옮김·감수,북21 을파소,2005,,9788950991203,73500,559,"7,355"
9,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,,9788956604992,3810,813.7,"7,309"
10,"(시골의사 박경철의) 자기혁명 :시대의 지성, 청춘의 멘토 박경철의 독설충고 ",박경철 지음,웅진씽크빅,2011,,9788901130460,3320,325.04,"7,148"
11,역사야 뭐하니?,담장너머 엮음,온돌,2005,1,9788995735619,4900,911,"7,110"
12,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009-2010,1,9788954608640,4830,833.6,"7,077"
13,도가니 :공지영 장편소설 ,지은이: 공지영,창비,2009,,9788936433703,3810,813.6,"6,994"
14,"멈추면, 비로소 보이는 것들 :혜민 스님과 함께하는 내 마음 다시보기 ",혜민 지음 ;우창헌 그림,쌤앤파커스,2012,,9788965700609,3810,818,"6,986"
15,은교 :박범신 장편소설 ,지은이: 박범신,문학동네,2010,,9788954610681,3810,813.62,"6,881"
16,(조선의 마지막 황녀) 덕혜옹주 :권비영 장편소설 ,지은이: 권비영,다산북스,2010,,9788963700342,3810,813.7,"6,700"
17,종이 여자 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 전미연,밝은세상,2010,,9788984371071,3860,863,"6,514"
18,몽실이의 솜사탕 ,글·그림: 요시무라 아키코 ;옮긴이: 권은희,킨더랜드,2008,4,9788956183848,73800,375.1,"6,384"
19,위트 상식사전 special :비범하고 기발하고 유쾌한 반전 ,이동준 지음 ;이관용 그림,보누스,2008,,9788991360273,3000,31,"6,295"
20,(주말마다 떠나는) 52가지 컬러여행,지은이: 김동섭,풍경,2007,,9788995657874,13980,981.102,"6,227"
21,엄마 수업 :법륜 스님이 들려주는 우리 아이 지혜롭게 키우는 법 ,법륜 지음 ;이순형 그림,한겨례출판,2011,,9788984315112,3810,598.1,"6,224"
22,어디선가 나를 찾는 전화벨이 울리고 :신경숙 장편소설 ,지은이: 신경숙,문학동네,2010,,9788954611275,3810,813.7,"6,219"
23,독서 천재가 된 홍대리 :운명을 바꾸는 책 읽기 프로젝트 ,"이지성,정회일 지음",다산북스,2012,,9788963706320,3320,29,"6,155"
24,(아기강아지랑) 모양놀이 ,글: 린다 콜 ;옮긴이: 곽정아,효리원,2008,,9788983398277,77840,375.1,"6,058"
25,(쉽고 재미있는)어린이 첫 그림 한자 사전,[글송이]편집부 구성;신재환 그림,글송이,2002,1,9788955720099,71710,711.4,"5,913"
26,리딩으로 리드하라 =세상을 지배하는 0.1퍼센트의 인문고전 독서법 /Reading lead ,이지성 지음,문학동네,2010,,9788954613026,3320,29.4,"5,886"
27,천사의 부름 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 전미연,밝은세상,2011,,9788984371125,3860,863,"5,885"
28,스님의 주례사 :행복한 결혼생활을 위한 남녀 마음 이야기 ,법륜 지음 ;김점선 그림,한겨레출판,2010,,9788984314207,3810,591.8,"5,837"
29,해를 품은 달 :정은궐 장편소설,지은이: 정은궐,파란미디어,2011,1,9788963710341,4810,813.7,"5,826"
30,만들어 볼까요:장난감,미술작가: 이하림;그림: 이른봄,삼성출판사,2006,3,9788915050532,74630,630,"5,824"
31,구해줘:기욤 뮈소 장편소설,기욤 뮈소 지음;윤미연 옮김,밝은세상,2006,,9788984370753,3860,863,"5,778"
32,고구려 :김진명 역사소설,지은이: 김진명,새움출판사,2011-2016,1,9788993964264,3810,813.7,"5,595"
33,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009-2010,3,9788954611800,4830,833.6,"5,569"
34,(청년 노동자)전태일,위기철 지음;안미영 그림,사계절출판사,2005,27,9788958280996,73810,998.3,"5,397"
35,해를 품은 달 :정은궐 장편소설,지은이: 정은궐,파란미디어,2011,2,9788963710358,4810,813.7,"5,236"
36,(만화과학상식백과)네가 과학을 알아?,하은정 글;임승희 그림,지식서관,2004,,9788978130769,67000,400,"5,194"
37,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009-2010,2,9788954608657,4830,833.6,"5,148"
