순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,82년생 김지영 :조남주 장편소설 ,지은이: 조남주,민음사,2016,,9788937473135,4810,813.7,"18,786"
2,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9788972756194,3830,833.6,"15,830"
3,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,지은이: 이기주,말글터,2016,,9791195522125,3810,818,"12,813"
4,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,,9788954646079,3810,813.7,"11,239"
5,채식주의자:한강 연작소설,한강,창비,2007,,9788936433598,3810,813.6,"10,841"
6,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,글·그림: 김수현,마음의숲,2016,,9791187119845,3810,818,"10,779"
7,"자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 ",윤홍균 지음,심플라이프,2016,,9791186757093,3190,182.1,"10,345"
8,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,,9788956604992,3810,813.7,"9,459"
9,오직 두 사람 :김영하 소설 ,지은이: 김영하,문학동네,2017,,9788954645614,3810,813.7,"9,446"
10,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ,정문정 지음,가나문화콘텐츠,2018,,9788957369364,3810,189.2,"9,373"
11,말의 품격 :말과 사람과 품격에 대한 생각들 ,이기주 지음,황소북스,2017,,9788997092772,3810,818,"9,049"
12,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,,9788954641630,3810,813.7,"8,986"
13,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,마크 맨슨 지음 ;한재호 옮김,웅진씽크빅,2017,,9788901219943,3190,199.1,"8,679"
14,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,,9788956609959,3810,813.7,"8,660"
15,아몬드 (양장 특별 한정판),손원평 (지은이),창비,2017,,9788936434267,,,"8,658"
16,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,,9788954622035,3810,813.7,"8,493"
17,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김",인플루엔셜,2014,,9788996991342,13180,189.2,"8,485"
18,연애의 행방 ,히가시노 게이고 지음 ;양윤옥 옮김,소미미디어,2018,,9791161903538,3830,833.6,"8,394"
19,보노보노처럼 살다니 다행이야 ,김신회 지음,다산북스,2017,,9791130611853,3810,818,"8,280"
20,개인주의자 선언 :판사 문유석의 일상유감 ,지은이: 문유석,문학동네,2015,,9788954637756,3300,304,"7,901"
21,어떻게 살 것인가 ,지은이: 유시민,아름다운사람들,2013,,9788965132288,3810,340.4,"7,896"
22,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9788936434120,3810,813.7,"7,773"
23,파리의 아파트 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2017,,9788984373358,3860,863,"7,702"
24,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2014,,9788990982575,3830,833.6,"7,443"
25,그대 눈동자에 건배 :히가시노 게이고 소설집 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2017,,9788972758426,3830,833.6,"7,422"
26,설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기 ,지은이: 설민석,세계사,2016,,9788933870693,3910,911.052,"7,343"
27,기사단장 죽이기 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,2017,1,9788954646123,4830,833.6,"7,195"
28,라플라스의 마녀 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2016,,9788972757573,3830,833.6,"7,163"
29,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9788934972464,3900,909,"6,974"
30,모든 순간이 너였다 :하태완 에세이 ,지은이: 하태완,위즈덤하우스 미디어그룹,2018,,9791162202913,3810,818,"6,959"
31,못 참는 아이 욱하는 부모 :분노조절장애의 시대를 사는 대한민국 부모에게 주는 육아 멘토 오은영 박사의 감정 조절 육아법 ,오은영 지음,대성 Korea.com,2016,,9788997396658,13590,598.1,"6,829"
32,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우,다산북스,2015,,9791130605210,3850,859.7,"6,573"
33,(지적이고 아름다운 삶을 위한) 라틴어 수업 ,한동일 지음,흐름출판,2017,,9788965962205,3100,792.2,"6,476"
34,(비울수록 사람을 더 채우는) 말그릇 ,김윤나 지음,카시오페아,2017,,9791185952987,3190,189.2,"6,457"
35,"스물아홉 생일, 1년 후 죽기로 결심했다 ",하야마 아마리 지음 ;장은주 옮김,위즈덤하우스,2012,,9788959136896,3830,838,"6,448"
36,운다고 달라지는 일은 아무것도 없겠지만 :박준 산문 ,지은이: 박준,난다,2017,,9791196075170,3810,814.7,"6,424"
37,위험한 비너스 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2017,,9788972758242,3830,833.6,"6,408"
38,"곰돌이 푸, 행복한 일은 매일 있어 :아직 행복을 기다리는 우리에게 ",원작: 곰돌이 푸 ;옮긴이: 정은희,RHK(알에이치코리아),2018,,9788925563350,3800,848,"6,379"
39,기린의 날개 ,히가시노 게이고 지음 ;김난주 옮김,재인,2017,,9788990982674,3830,833.6,"6,326"
40,빨강머리 앤이 하는 말 :백영옥 에세이 ,지은이: 백영옥,arte(아르테),2016,,9788950965693,3810,814.7,"6,111"
41,현남 오빠에게 :페미니즘 소설 ,"지은이: 조남주,김성중",다산북스,2017,,9791130614779,3810,813.7,"5,936"
42,완벽한 공부법 :모든 공부의 최고 지침서 ,"고영성,신영준 지음",Rok Media(로크미디어),2017,,9791160486735,3810,373.4,"5,732"
43,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,,9788936446819,77810,813.7,"5,722"
44,잠 :베르나르 베르베르 장편소설,지은이: 베르나르 베르베르 ;옮긴이: 전미연,열린책들,2017,1,9788932918372,4860,863,"5,639"
45,기사단장 죽이기 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,2017,2,9788954646130,4830,833.6,"5,628"
46,죽여 마땅한 사람들 ,피터 스완슨 지음 ;노진선 옮김,푸른숲,2016,,9791156756552,3840,843.6,"5,540"
47,브루클린의 소녀 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2016,,9788984373068,3860,863,"5,511"
48,엄마의 자존감 공부 :천 번을 미안해도 나는 엄마다 ,김미경 지음,북이십일,2017,,9788950972226,3320,378.9,"5,471"
49,일단 오늘은 나한테 잘합시다 :어쩐지 의기양양 도대체 씨의 띄엄띄엄 인생 기술 ,도대체 글·그림,위즈덤하우스 미디어그룹,2017,,9788959135592,3810,818,"5,468"
50,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미,Book plaza(북플라자),2017,,9788998274795,3830,833.6,"5,427"
51,비하인드 도어 :B.A. 패리스 장편소설 ,지은이: B.A. Paris ;옮긴이: 이수영,arte(아르테),2017,,9788950970888,3840,843.6,"5,304"
52,딸에 대하여 :김혜진 장편소설 ,지은이: 김혜진,민음사,2017,,9788937473173,4810,813.7,"5,297"
53,비행운 :김애란 소설집 ,지은이: 김애란,문학과지성사,2012,,9788932023151,3810,813.7,"5,260"
54,약간의 거리를 둔다 :소노 아야코 에세이 ,지은이: 소노 아야코 ;옮긴이: 김욱,리수,2016,,9791186274156,3830,834,"5,213"
55,엄마 반성문 :전교 일등 남매 고교 자퇴 후 코칭 전문가 된 교장 선생님의 고백 ,이유남 지음,알피스페이스,2017,,9791185716541,3810,818,"5,195"
56,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,,9788986836240,3840,843,"4,959"
57,편의점 인간 ,무라타 사야카 지음 ;김석희 옮김,살림,2016,,9788952235268,3830,833.6,"4,886"
58,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,2,9788937853470,74830,833.6,"4,876"
59,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,하완 지음,웅진씽크빅,2018,,9788901223032,3810,818,"4,820"
60,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,1,9788937838750,74830,833.6,"4,808"
61,"나, 있는 그대로 참 좋다 :자신이 얼마나 아름다운지 모르는 나에게 필요한 마음 주문 ",글: 조유미 ;그림: 화가율,백도씨,2017,,9788968331503,3810,818,"4,802"
62,블랙코미디 :유병재 농담집 ,지은이: 유병재,김영사,2017,,9788934979289,3810,818,"4,780"
63,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,3,9788937889714,74830,833.6,"4,766"
64,유시민의 글쓰기 특강 ,지은이: 유시민,아름다운사람들,2015,,9788965133520,4800,802,"4,726"
65,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,4,9788937848247,74830,833.6,"4,667"
66,"그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘 ",앤절라 더크워스 지음 ;김미정 옮김,비즈니스북스,2016,,9791186805398,3190,325.211,"4,648"
67,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ,지은이: 백세희,흔,2018,,9791196394509,3810,818,"4,610"
68,엄마의 말하기 연습 :화내지 않고 상처 주지 않고 진심을 전하는 ,박재연 지음,한빛라이프,2018,,9791188007134,13590,598.1,"4,593"
69,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009-2010,1,9788954608640,4830,833.6,"4,538"
70,악의 :히가시노 게이고 장편소설 ,히가시노 게이고 [지음] ;양윤옥 옮김,현대문학,2008,,9788972754190,3830,833.6,"4,531"
71,28 :정유정 장편소설 ,지은이: 정유정,은행나무,2013,,9788956607030,3810,813.7,"4,489"
72,미움받을 용기 :사랑과 진정한 자립에 대한 아들러의 가르침,"기시미 이치로,전경아 옮김",인플루엔셜,2016,2,9791186560129,3180,189.2,"4,459"
73,눈보라 체이스 ,히가시노 게이고 지음 ;양윤옥 옮김,소미미디어,2017,,9791161902845,3830,833.6,"4,455"
74,바다 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,,9788966350278,74830,833.6,"4,428"
75,낭만적 연애와 그 후의 일상 :알랭 드 보통 장편소설 ,지은이: 알랭 드 보통 ;옮긴이: 김한영,은행나무,2016,,9788956608846,3840,843.5,"4,421"
76,잠 :베르나르 베르베르 장편소설,지은이: 베르나르 베르베르 ;옮긴이: 전미연,열린책들,2017,2,9788932918389,4860,863,"4,410"
77,나는 단순하게 살기로 했다 :물건을 버린 후 찾아온 12가지 놀라운 인생의 변화 ,사사키 후미오 지음 ;김윤경 옮김,비즈니스북스,2015,,9791186805114,3190,199.1,"4,343"
78,"나의 한국현대사 :1959-2014, 55년의 기록 ",유시민 지음,돌베개,2014,,9788971996096,3900,911.07,"4,327"
79,"검사내전 :생활형 검사의 사람 공부, 세상 공부 ",김웅 지음,부·키,2018,,9788960516175,3300,367.204,"4,301"
80,국가란 무엇인가 ,유시민 지음,돌베개,2017,,9788971998014,3340,341,"4,273"
81,알사탕,백희나 (지은이),책읽는곰,2017,,9791158360375,,,"4,264"
82,용의자 X의 헌신,히가시노 게이고 지음;양억관 옮김,현대문학,2006,,9788972753698,3830,833.6,"4,251"
83,영어책 한 권 외워봤니? :딱 한 권만 넘으면 영어 울렁증이 사라진다 ,김민식 지음,위즈덤하우스,2017,,9788960863132,3320,740,"4,242"
84,완벽하지 않은 것들에 대한 사랑 :온전한 나를 위한 혜민 스님의 따뜻한 응원 ,혜민 지음 ;이응견 그림,수오서재,2016,,9791195322183,3810,818,"4,203"
85,여덟 단어 :인생을 대하는 우리의 자세 ,박웅현 지음,북하우스 퍼블리셔스,2013,,9788956056531,3810,818,"4,160"
86,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,2017,5,9791162332542,,,"4,117"
87,태도에 관하여 :임경선 에세이 ,지은이: 임경선,한겨레출판,2015,,9788984318885,3810,814.7,"4,084"
88,지적 대화를 위한 넓고 얕은 지식,채사장 지음 ,한빛비즈,2014,,9788994120966,13100,1.3,"4,052"
89,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,2013,,9788932916194,3850,859.7,"4,037"
90,호모 데우스 :미래의 역사 ,지은이: 유발 하라리 ;옮긴이: 김명주,김영사,2017,,9788934977841,3900,331.544,"4,010"
