순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,(趙庭來 大河小說) 太白山脈,저자: 조정래,해냄,1995,4,9788973374113,3810,813.62,"62,407"
2,(사진과 그림으로 보는)한국사 편지,박은봉 지음;류동필...[등]그림,웅진닷컴,2002-2003,2,9788901039121,74910,911,"40,030"
3,토지,朴景利 저,나남출판,2002,12,9788930007016,34800,813.6,"17,269"
4,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9788972756194,3830,833.6,"11,559"
5,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경,열린책들,2013,,9788932916194,3850,859.7,"10,138"
6,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,1,9788965744023,4810,813.62,"8,877"
7,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김",인플루엔셜,2014,,9788996991342,13180,189.2,"8,875"
8,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,,9788956604992,3810,813.7,"8,773"
9,미 비포 유 ,조조 모예스 지음 ;김선형 옮김,살림,2013,,9788952227829,3840,843.6,"7,333"
10,여자 없는 남자들 :무라카미 하루키 소설 ,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2014,,9788954625586,3830,833.6,"7,273"
11,빅 픽처 :더글라스 케네디 장편소설 ,지은이: 더글라스 케네디 ;옮긴이: 조동섭,밝은 세상,2010,,9788984371026,3840,843.5,"6,907"
12,정글만리 :조정래 장편소설,저자: 조정래,해냄출판사,2013,2,9788965744030,4810,813.62,"6,772"
13,여덟 단어 :인생을 대하는 우리의 자세 ,박웅현 지음,북하우스 퍼블리셔스,2013,,9788956056531,3810,818,"6,769"
14,"멈추면, 비로소 보이는 것들 :혜민 스님과 함께하는 내 마음 다시보기 ",혜민 지음 ;우창헌 그림,쌤앤파커스,2012,,9788965700609,3810,818,"6,618"
15,꾸뻬 씨의 행복 여행,프랑수아 를로르 지음;오유란 옮김,오래된미래,2004,,9788995501443,3860,863,"6,541"
16,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2014,,9788990982575,3830,833.6,"6,432"
17,"스물아홉 생일, 1년 후 죽기로 결심했다 ",하야마 아마리 지음 ;장은주 옮김,위즈덤하우스,2012,,9788959136896,3830,838,"6,284"
18,어떤 하루 ,신준모 지음 ;김진희 그림,프롬북스,2014,,9788993734348,3810,818,"6,146"
19,내일 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2013,,9788984371286,3860,863,"6,135"
