순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,82년생 김지영 :조남주 장편소설 ,지은이: 조남주,민음사,2016,,9788937473135,4810,813.7,"14,568"
2,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9788972756194,3830,833.6,"11,546"
3,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ,지은이: 백세희,흔,2018,,9791196394509,3810,818,"10,337"
4,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,지은이: 이기주,말글터,2016,,9791195522125,3810,818,"9,934"
5,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,글·그림: 김수현,마음의숲,2016,,9791187119845,3810,818,"9,318"
6,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미,Book plaza(북플라자),2017,,9788998274795,3830,833.6,"8,937"
7,아몬드 (양장 특별 한정판),손원평 (지은이),창비,2017,,9788936434267,,,"7,950"
8,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,하완 지음,웅진씽크빅,2018,,9788901223032,3810,818,"7,925"
9,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,,9788954641630,3810,813.7,"7,632"
10,채식주의자:한강 연작소설,한강,창비,2007,,9788936433598,3810,813.6,"7,542"
11,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다 ",임홍택 지음,Whale Books(웨일북),2018,,9791188248674,3320,325.3,"7,340"
12,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,,9788954646079,3810,813.7,"7,330"
13,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ,정문정 지음,가나문화콘텐츠,2018,,9788957369364,3810,189.2,"7,291"
14,아가씨와 밤 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2018,,9788984373617,3860,863,"7,263"
15,"자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 ",윤홍균 지음,심플라이프,2016,,9791186757093,3190,182.1,"7,111"
16,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,,9788954651820,3810,813.7,"6,987"
17,개인주의자 선언 :판사 문유석의 일상유감 ,지은이: 문유석,문학동네,2015,,9788954637756,3300,304,"6,885"
18,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9788934972464,3900,909,"6,786"
19,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,2,9788937853470,74830,833.6,"6,585"
20,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,1,9788937838750,74830,833.6,"6,553"
21,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,3,9788937889714,74830,833.6,"6,517"
22,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016-2020,4,9788937848247,74830,833.6,"6,453"
