순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,2008,,9788936433673,3810,813.7,"11,726"
2,(이외수의 생존법) 하악하악 ,정태련이 그리고 ;이외수가 쓰다,해냄출판사,2008,,9788973379507,3810,818,"7,018"
3,즐거운 나의 집 :공지영 장편소설 ,공지영,푸른숲,2007,,9788971847558,3810,813.6,"6,265"
4,(네가 어떤 삶을 살든) 나는 너를 응원할 것이다 :공지영 산문 ,공지영,오픈하우스,2008,,9788996047636,3800,814.6,"5,957"
5,개밥바라기별 :황석영 소설 ,황석영,문학동네,2008,,9788954606417,3810,813.6,"5,820"
6,신 :베르나르 베르베르 장편소설,베르나르 베르베르 [지음] ;이세욱 옮김,열린책들,2008-2009,1,9788932908557,4860,863,"5,656"
7,구해줘:기욤 뮈소 장편소설,기욤 뮈소 지음;윤미연 옮김,밝은세상,2006,,9788984370753,3860,863,"5,605"
8,달콤한 나의 도시:정이현 장편소설,지은이: 정이현,문학과지성사,2006,,9788932017150,3810,813.6,"5,368"
9,"지금 사랑하지 않는 자, 모두 유죄 :노희경 에세이 ",저자: 노희경,헤르메스미디어,2008,,9788995816769,3810,814.6,"5,203"
10,시크릿,지은이: 론다 번;옮긴이: 김우열,살림출판사,2007,,9788952206503,3320,189,"5,159"
11,"줄리어스, 어디 있니? ",글·그림: 존 버닝햄 ;옮김: 김정희,현북스,2013,,9788997175857,77840,843,"5,144"
12,아주 가벼운 깃털 하나 :공지영 에세이 ,공지영,한겨레출판,2009,,9788984313170,3810,814.6,"5,086"
13,미실:김별아 장편소설,김별아 지음,문이당,2005,,9788974562700,3810,813.6,"4,994"
14,서른 살이 심리학에게 묻다 :대한민국 30대를 위한 심리치유카페 ,김혜남 지음,웅진씽크빅,2008,,9788901078588,3180,186.5,"4,974"
15,아내가 결혼했다:박현욱 장편소설,박현욱,문이당,2006,,9788974563301,3810,813.6,"4,572"
16,공중그네:오쿠다 히데오 장편소설,오쿠다 히데오 지음;이영미 옮김,은행나무,2005,,9788956601021,3830,833.6,"4,536"
17,나쁜 사마리아인들:장하준의 경제학 파노라마,장하준 지음;이순희 옮김,부키,2007,,9788960510197,3320,326.211,"4,533"
18,용의자 X의 헌신,히가시노 게이고 지음;양억관 옮김,현대문학,2006,,9788972753698,3830,833.6,"4,515"
19,사랑하기 때문에 :기욤 뮈소 장편소설 ,기욤 뮈소 [지음] ;전미연 옮김,밝은세상,2007,,9788984370869,3860,863,"4,499"
20,바리데기 :황석영 장편소설 ,지은이: 황석영,창비,2007,,9788936433581,3810,813.62,"4,436"
21,"괜찮다, 다 괜찮다 :공지영이 당신께 보내는 위로와 응원 ","공지영,지승호 지음",알마,2008,,9788992525350,3810,813.609,"4,427"
22,4개의 통장 :평범한 사람이 목돈을 만드는 가장 빠른 시스템 ,고경호 지음,다산북스,2009,,9788993285550,3320,327.04,"4,414"
