순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,엄마를 부탁해 :신경숙 장편소설 ,지은이: 신경숙,창비,2008,,9788936433673,3810,813.7,"12,397"
2,"그건, 사랑이었네 :한비야 에세이 ",지은이: 한비야,푸른숲,2009,,9788971848173,3810,818,"8,654"
3,(조선의 마지막 황녀) 덕혜옹주 :권비영 장편소설 ,지은이: 권비영,다산북스,2010,,9788963700342,3810,813.7,"8,500"
4,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009-2010,1,9788954608640,4830,833.6,"7,548"
5,도가니 :공지영 장편소설 ,지은이: 공지영,창비,2009,,9788936433703,3810,813.6,"7,136"
6,신 :베르나르 베르베르 장편소설,베르나르 베르베르 [지음] ;이세욱 옮김,열린책들,2008-2009,1,9788932908557,4860,863,"6,926"
7,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,2009-2010,2,9788954608657,4830,833.6,"6,855"
8,(이외수의 생존법) 하악하악 ,정태련이 그리고 ;이외수가 쓰다,해냄출판사,2008,,9788973379507,3810,818,"6,252"
9,구해줘:기욤 뮈소 장편소설,기욤 뮈소 지음;윤미연 옮김,밝은세상,2006,,9788984370753,3860,863,"5,804"
10,즐거운 나의 집 :공지영 장편소설 ,공지영,푸른숲,2007,,9788971847558,3810,813.6,"5,666"
11,4개의 통장 :평범한 사람이 목돈을 만드는 가장 빠른 시스템 ,고경호 지음,다산북스,2009,,9788993285550,3320,327.04,"5,601"
12,아이의 사생활 =Discovering a child ,EBS 제작팀 지음,지식채널,2009,,9788952755988,13590,598.1,"5,535"
13,너는 모른다 :정이현 장편소설 ,지은이: 정이현,문학동네,2009,,9788954609647,3810,813.7,"5,428"
14,규장각 각신들의 나날 :정은궐 장편소설,지은이: 정은궐,파란미디어,2009,1,9788963710020,4810,813.6,"5,360"
15,아주 가벼운 깃털 하나 :공지영 에세이 ,공지영,한겨레출판,2009,,9788984313170,3810,814.6,"5,344"
16,천년의 금서 :김진명 장편소설 ,지은이: 김진명,새움출판사,2009,,9788988537015,3810,813.6,"5,329"
17,죽은 왕녀를 위한 파반느 =박민규 장편소설 /Pavane pour une infante d?funte ,지은이: 박민규,위즈덤하우스,2009,,9788959133918,3810,813.6,"5,286"
18,청춘 불패 :이외수의 소생법 ,지은이:이외수 ;그린이: 정태련,해냄출판사,2009,,9788973370603,3810,814.6,"5,246"
19,(네가 어떤 삶을 살든) 나는 너를 응원할 것이다 :공지영 산문 ,공지영,오픈하우스,2008,,9788996047636,3800,814.6,"5,065"
20,신 :베르나르 베르베르 장편소설,베르나르 베르베르 [지음] ;이세욱 옮김,열린책들,2008-2009,2,9788932908564,4860,863,"5,064"
21,규장각 각신들의 나날 :정은궐 장편소설,지은이: 정은궐,파란미디어,2009,2,9788963710037,4810,813.6,"4,961"
22,시크릿,지은이: 론다 번;옮긴이: 김우열,살림출판사,2007,,9788952206503,3320,189,"4,902"
23,달콤한 나의 도시:정이현 장편소설,지은이: 정이현,문학과지성사,2006,,9788932017150,3810,813.6,"4,901"
24,"지금 사랑하지 않는 자, 모두 유죄 :노희경 에세이 ",저자: 노희경,헤르메스미디어,2008,,9788995816769,3810,814.6,"4,786"
25,공중그네:오쿠다 히데오 장편소설,오쿠다 히데오 지음;이영미 옮김,은행나무,2005,,9788956601021,3830,833.6,"4,750"
26,서른 살이 심리학에게 묻다 :대한민국 30대를 위한 심리치유카페 ,김혜남 지음,웅진씽크빅,2008,,9788901078588,3180,186.5,"4,741"
27,당신 없는 나는? :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 허지은,밝은세상,2009,,9788984371002,3860,863,"4,709"
28,나쁜 사마리아인들:장하준의 경제학 파노라마,장하준 지음;이순희 옮김,부키,2007,,9788960510197,3320,326.211,"4,599"
29,심리학이 서른 살에게 답하다 :서른 살의 강을 현명하게 건너는 52가지 방법 ,김혜남 지음,웅진씽크빅,2009,,9788901093987,3180,186.5,"4,375"
30,신 :베르나르 베르베르 장편소설,베르나르 베르베르 [지음] ;이세욱 옮김,열린책들,2008-2009,3,9788932908694,4860,863,"4,374"
31,로스트 심벌,댄 브라운 지음 ;안종설 옮김,문학수첩,2009,1,9788983923387,4840,843,"4,348"
32,사랑을 찾아 돌아오다 :기욤 뮈소 장편소설 ,기욤 뮈소 [지음] ;김남주 옮김,밝은세상,2008,,9788984370906,3860,863,"4,297"
