순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,불합격을 피하는 법 :고시 및 공무원시험을 안전하게 붙는 방법 ,최규호 지음,법률저널,2009,,9788991850446,93360,350.4,"2,653"
2,(스스로 놀이를 만들어 가는) 기구운동 ,"저자: 김창욱,이미영",양서원,2010,,9788959642748,93370,375.1,"2,545"
3,도쿄를 알면 일본어가 보인다 :여행서보다 더 친절한 도쿄 일본어 안내서 ,김현근 지음,북이십일 21세기북스,2008,,9788950913533,98740,730,"2,093"
4,10년 후 미래 :세계 경제의 운명을 바꿀 12가지 트렌드 ,대니얼 앨트먼 지음 ;고영태 옮김,청림출판,2011,,9788935208760,93320,320.9,"1,545"
5,안드로이드 프로그래밍 정복 =안드로이드 SDK 2.1 /Androld programming complete guide ,김상형 저,한빛미디어,2010,,9788979147414,93560,5.11,992
6,맨큐의 경제학 ,N. Gregory Mankiw 지음 ;김종석 옮김,교보문고,2009,,9788993995015,93320,320,971
7,한국인의 심리코드 :한국인의 마음의 MRI 찍기 ,황상민 지음,추수밭,2011,,9788992355650,93180,182.6911,854
8,海洋生物學,李鍾華 著,東和技術,1992,,9788942515004,93490,477.3,845
9,정치 윤리의 합리적 모색,페터 파울 뮐러-슈미트 지음;김석수 [공]옮김,민지사,2000,,9788973621149,93190,193,840
10,국내 외국인 기업 취업실무론,우혜영 지음,학문사,1999,,9789846721423,93320,336.24,839
11,Five Little Monkeys Jumping on the Bed (Paperback),Eileen Christelow,ClarionBooks,2003,,9780395557013,90000,,771
12,우리말 문법론 ,"고영근,구본관",집문당,2008,,9788930313551,93710,715,733
13,국어 교육의 이해 :국어 교육의 미래를 모색하는 열여섯 가지 이야기 =Introduction to Korean education : 16 lectures for teachers of language arts ,"최미숙,주세형 지음",사회평론,2009,,9788956029375,93710,710.7,727
14,Google :구글 완전 활용법 ,"강재욱,양재봉 지음",이지스퍼블리싱,2011,,9788996454854,93560,4.584,714
15,맨큐의 경제학,N. Gregory Mankiw 지음;김종석 옮김,교보문고,2007,,9788970857909,93320,320,708
16,Five Little Monkeys Sitting in a Tree (Paperback),Christelow|Eileen,HoughtonMifflin,2007,,9780395664131,90000,,699
17,현대시의 비밀,권명옥 (엮은이),이회문화사,1998,,9788981070779,93810,,687
18,"A Dragon on the Doorstep (Paperback, Compact Disc) - 노래부르는 영어동화",Stella Blackstone (지은이),Barefoot Books,2006,,9781905236664,90000,,663
19,학교 문법과 문법 교육,임지룡...[등]지음,박이정,2005,,9788978788106,93700,715,645
20,(내가 쓰고 싶은 말이 다 있는)영어일기 표현사전=English expressions for your diary,하명옥 지음,넥서스English,2005,,9788982205903,93740,746,626
21,감정노동 =노동은 우리의 감정을 어떻게 상품으로 만드는가 /Emotional labor ,지은이: 앨리 러셀 혹실드 ;옮긴이: 이가람,이매진,2009,,9788993985177,93300,181.7,605
22,미시경제학 =Microeconomics ,이준구,法文社,2008,,9788918101286,93320,320.1,595
23,경제학원론 =Economics ,"저자: 이준구,이창용",法文社,2010,,9788918103310,93320,320.1,593
24,재가복지와 사례관리=Community care & case management,류상열 지음,학문사,1999,,9788946732841,93330,338.13,540
25,We All Go Traveling By (Paperback + CD) (노래부르는 영어동화),쉬나 라일리,BarefootBooks,2005,,9781841484105,90000,,527
26,가족복지론=Social work with families,"김혜경,홍달아기",공동체,2006,,9788991903128,93330,338.18,518
27,난 정말 Java를 공부한 적이 없다구요 ,윤성우 저,오렌지미디어,2009,,9788996094029,93000,5.133,514
28,(반드시 취업이 보장되는) 이력서 & 자기소개서 작성법=Resume & self-introduction,김용환 지음,버들미디어,2006,,9788986982688,93170,325.337,513
29,아동복지론=Child welfare,"윤혜미,신영화 공저",청목출판사,2005,,9788955651102,93330,338.5,508
30,Java의 정석 ,남궁성 지음,도우출판,2009[실은 20,,9788995379493,93000,5.137,506
31,감시와 처벌 :감옥의 역사 ,미셸 푸코 지음 ;오생근 옮김,나남출판,2007,,9788930032483,94300,364.61,504
32,한국문학통사,조동일 지음,지식산업사,2005,1,9788942340347,94810,810.9,502
33,한국문학통사,조동일 지음,지식산업사,2005,2,9788942340354,94810,810.9,501
34,C 프로그래밍 ,윤성우 저,프리렉,2007,,9788989345701,93000,5.13,490
35,"We're Going on a Bear Hunt (Paperback, New ed)",WALKER BOOKS 사,문진미디어,2001,,9780744523232,90300,,488
36,유기화학 ,John McMurry [지음] ;대학화학교재연구회 옮김,사이플러스,2008,,9788992603065,93430,437,487
37,돈(錢)버는 블로그 :부자 쇼핑몰's 돈 안 쓰는 블로그 마케팅 ,글쓴이: 이영호,혜지원,2009,,9788983796189,93560,326.165,482
38,(열혈강의) Java programming,김승현 저,프리렉,2007,,9788989345831,93000,5.133,481
39,누워서 읽는 퍼즐북 :뉴욕의 프로그래머 임백준의 퍼즐이야기 ,지은이: 임백준,한빛미디어,2010,,9788979147193,93560,691,479
40,일리아스,호메로스 지음;천병희 옮김,숲,2007,,9788991290167,93890,892.1,473
41,상상력에 엔진을 달아라,임헌우 지음,나남출판,2007,,9788930081986,94300,326.14,468
42,아동복지론 (김명희),김명희 (지은이),교문사,2006,,9788936307806,93330,,466
43,(편집 디자이너를 위한) 인디자인 CS4 테크닉북 ,"김정환,배경희 지음",BM 성안당,2009,,9788931550214,93000,4.76,460
44,디자이너를 완성하는 포트폴리오=(The)guide to successful portfolio  : traditional & new trends,신지혜;OKOSS 공저,영진닷컴,2003,,9788931425659,93600,658,456
45,블루오션 전략,김위찬;강혜구 옮김,교보문고,2005,,9788970856575,93320,325.1,454
46,(현대) 경제학원론=Principles of economics,"김대식,안국신",博英社,2007,,9788971894835,93320,320,448
47,새 행정학 ,"이종수,윤영진 외 공저",대영문화사,2008,,9788976442901,93350,350.01,442
48,(보급형 카메라와 렌즈로 배우는) DSLR 카메라 실습 ,박기덕 지음,대림,2008,,9788972807858,93000,662,436
49,(우리말로 잡는) 기똥찬 영어발음 강의 ,유원호 지음,넥서스,2008,,9788960003712,98740,741.1,435
49,"(가벼운 마음으로 배우는) 웹 프로그래밍 :with HTML, Javascript ＆ CSS ","김종현,성윤정 공저",교보문고,2010,,9788993995817,93560,5.135,435
51,(최신) 사회복지실천론=Modern social work practice,이윤로 저,학지사,2006,,9788958912064,93330,338,429
52,(Do it!) HTML5+CSS3 ,고경희 지음,이지스퍼블리싱,2010,,9788996454816,93560,4.583,427
53,Head first iPhone development :사용자 경험 중심의 아이폰 앱 개발 입문서 ,"댄 필로네,강권학 역",한빛미디어,2010,,9788979147421,93560,5.11,421
54,상담심리학의 이론과 실제,노안영 저,학지사,2005,,9788958911654,93180,186.3,417
55,(뇌를 자극하는) 오라클 프로그래밍 =SQL&PL/SQL /Oracle programming ,홍형경 저,한빛미디어,2008,,9788979145472,93000,5.756,416
56,웹 표준 가이드 HTML5 + CSS3 :IE가 웹 세상의 전부는 아니다 ,존 앨섭 지음 ;홍승표 옮김,한빛미디어,2010,,9788979147940,93560,5.72,415
57,생명과학 ,"저자: Campbell,대표역자: 전상학",바이오사이언스,2008,,9788992709101,93470,470,412
58,한국문학통사,조동일 지음,지식산업사,2005,3,9788942340361,94810,810.9,411
59,(영어식 사고로 유창하게 말하는) 비밀은 전치사에 있다=Prepositions & phrasal verbs,"심재경,Ray Mills 지음",넥서스,2006,,9788960000445,93740,745.7,409
60,기초 커피 바리스타 =Coffee barista ,"전광수,송주은 공저",형설출판사,2008,,9788947233354,93590,573.93,408
61,레이아웃 불변의 법칙 100가지 :그리드를 디자인하라 ,베스 톤드로 지음 ;오윤성 옮김,고려문화사,2009,,9788979301960,93600,586.7,407
62,치매의 원인과 치료:치매노인 가족과 서비스 제공자들을 위하여,이윤로;박종한 [공]저,學文社,1996,,9788946741058,93330,513.898,405
62,한국사회와 아동청소년복지 ,"문선화,김현옥 공저",양서원,2009,,9788959644643,93330,338.5,405
64,폴란드사,정병권 저,대한교과서,1997,,9788937805035,93920,925.6,403
65,님의 영으로:형제회 25년,김영일 엮음,프란치스코 출판사,2005,,9788956745121,93230,238.2,396
66,(러셀) 서양철학사 ,버트런드 러셀 지음 ;서상복 옮김,을유문화사,2009,,9788932471549,93160,160,395
66,자기소개서 작성법 특강:나만의 차별화 노하우,윤영돈 지음,양서원,2005,,9788972292500,93170,325.337,395
68,부모교육 =Parent education ,"김익균,허린강",파워북,2009,,9788981601256,93590,378.9,391
68,韓國人의 人性,李玟泰 著,교육과학사,1998,,9788982871665,93370,114.3,391
70,Little gorilla ,story and pictures by Ruth Bornstein,Houghton Mifflin Harcourt,[2014],,9780899194219,90000,,390
71,(미치도록) 쉬운기타 :MR과 함께 한방에 마스터하는 기타교본! ,강경애 저,삼호ETM,2010,,9788994034577,93670,677.43,387
72,아동발달의 이해=Child development,정옥분 지음,학지사,2002,,9788975487095,93370,183.2,378
